u	v	w
8808	1326	9	
4203	1327	17	
5688	1328	8	
8829	1329	17	
563	1330	9	
3228	1331	11	
1382	1332	11	
267	1333	24	
7297	1334	7	
9740	1335	15	
7329	1336	11	
8104	1337	13	
4193	1338	3	
5236	1339	3	
7870	1340	5	
3979	1341	11	
372	1342	20	
7809	1343	37	
8208	1344	11	
474	1345	8	
2556	1346	2	
2790	1347	8	
8236	1348	2	
703	1349	10	
1213	1350	13	
9051	1351	12	
7049	1352	7	
8025	1353	15	
7332	1354	11	
3724	1355	36	
263	1356	16	
167	1357	6	
3668	1358	1	
4777	1359	9	
1037	1360	5	
3746	1361	14	
597	1362	6	
5677	1363	10	
6726	1364	5	
5263	1365	8	
9563	1366	17	
6516	1367	11	
3586	1368	18	
5664	1369	8	
3577	1370	21	
7806	1371	3	
9454	1372	22	
2520	1373	2	
7176	1374	10	
1193	1375	8	
6383	1376	4	
7217	1377	10	
6597	1378	6	
6736	1379	6	
6969	1380	9	
1049	1381	15	
3137	1382	20	
2841	1383	1	
1835	1384	18	
7865	1385	7	
1034	1386	41	
7305	1387	3	
5864	1388	3	
1011	1389	21	
436	1390	18	
317	1391	48	
1197	1392	15	
9511	1393	12	
3620	1394	3	
2671	1395	17	
6826	1396	9	
6263	1397	2	
6734	1398	37	
4090	1399	16	
6893	1400	22	
6186	1401	31	
123	1402	11	
2957	1403	2	
1693	1404	38	
3811	1405	3	
1278	1406	11	
1127	1407	5	
9348	1408	34	
380	1409	34	
929	1410	3	
2794	1411	11	
9909	1412	3	
8954	1413	7	
1549	1414	14	
2572	1415	8	
2342	1416	9	
2095	1417	14	
4858	1418	9	
4708	1419	21	
8769	1420	2	
7092	1421	6	
4741	1422	11	
4788	1423	21	
6138	1424	5	
7880	1425	10	
7308	1426	6	
6175	1427	14	
466	1428	2	
7675	1429	5	
9660	1430	26	
2781	1431	1	
8853	1432	10	
7078	1433	39	
7663	1434	19	
1861	1435	25	
7688	1436	43	
3691	1437	14	
4912	1438	10	
1990	1439	10	
8034	1440	28	
80	1441	8	
9948	1442	20	
121	1443	28	
531	1444	16	
4127	1445	3	
855	1446	15	
1073	1447	17	
7487	1448	24	
3845	1449	23	
7073	1450	10	
9515	1451	13	
5979	1452	39	
2458	1453	18	
7326	1454	4	
844	1455	1	
6940	1456	9	
8219	1457	4	
8627	1458	8	
6624	1459	27	
8651	1460	2	
4162	1461	10	
2537	1462	1	
4047	1463	7	
8929	1464	8	
5103	1465	11	
802	1466	29	
927	1467	29	
2341	1468	9	
2491	1469	16	
2808	1470	1	
2380	1471	26	
2950	1472	1	
7068	1473	10	
2319	1474	9	
395	1475	5	
2811	1476	12	
4405	1477	13	
8392	1478	4	
2908	1479	15	
4976	1480	3	
5828	1481	18	
8055	1482	1	
3933	1483	2	
2873	1484	9	
5160	1485	12	
2419	1486	9	
6175	1487	12	
337	1488	6	
7625	1489	5	
6726	1490	14	
5301	1491	45	
1896	1492	13	
6957	1493	12	
7582	1494	8	
9589	1495	17	
9897	1496	2	
1744	1497	3	
7025	1498	3	
5024	1499	8	
5339	1500	4	
1374	1501	9	
9541	1502	17	
7602	1503	12	
3359	1504	13	
3912	1505	29	
9484	1506	22	
5694	1507	9	
1841	1508	17	
6534	1509	18	
7852	1510	28	
592	1511	19	
6366	1512	6	
2297	1513	14	
6459	1514	9	
2386	1515	6	
3416	1516	16	
8251	1517	14	
8047	1518	4	
2926	1519	10	
6707	1520	6	
2400	1521	1	
8399	1522	10	
117	1523	56	
4334	1524	13	
5392	1525	38	
4886	1526	11	
9936	1527	24	
5869	1528	5	
3491	1529	10	
5978	1530	5	
4366	1531	39	
8112	1532	33	
1973	1533	18	
5403	1534	31	
1835	1535	6	
1047	1536	21	
182	1537	15	
9382	1538	4	
6910	1539	12	
172	1540	8	
7802	1541	11	
1291	1542	11	
8354	1543	2	
8282	1544	1	
6252	1545	8	
2728	1546	10	
4012	1547	3	
8676	1548	20	
7536	1549	3	
7390	1550	33	
4513	1551	16	
3098	1552	15	
6840	1553	15	
8062	1554	24	
796	1555	25	
2905	1556	10	
5746	1557	7	
263	1558	27	
5974	1559	23	
3934	1560	14	
8779	1561	8	
8718	1562	16	
203	1563	11	
9846	1564	5	
3670	1565	30	
812	1566	10	
1473	1567	3	
1078	1568	16	
2428	1569	9	
5813	1570	19	
4185	1571	5	
521	1572	3	
1489	1573	9	
1369	1574	8	
157	1575	36	
8553	1576	1	
5207	1577	3	
9101	1578	2	
900	1579	3	
3105	1580	4	
7465	1581	16	
7136	1582	17	
3882	1583	2	
6918	1584	4	
4702	1585	31	
8905	1586	25	
182	1587	15	
3696	1588	39	
1764	1589	8	
7334	1590	6	
8786	1591	25	
9796	1592	35	
8127	1593	24	
9514	1594	4	
8966	1595	12	
9602	1596	7	
5654	1597	25	
5407	1598	4	
8738	1599	31	
2490	1600	33	
6609	1601	13	
7297	1602	5	
3671	1603	13	
8177	1604	7	
2259	1605	10	
6753	1606	2	
6026	1607	13	
2698	1608	19	
2184	1609	7	
1077	1610	3	
8652	1611	3	
5201	1612	19	
8805	1613	5	
485	1614	13	
4007	1615	11	
2362	1616	10	
1832	1617	17	
5810	1618	13	
2922	1619	21	
4970	1620	17	
1135	1621	10	
4898	1622	7	
1774	1623	10	
6740	1624	15	
6696	1625	9	
1576	1626	8	
6565	1627	34	
2321	1628	8	
9213	1629	12	
2228	1630	10	
5411	1631	7	
6977	1632	19	
986	1633	15	
4930	1634	1	
3131	1635	27	
2601	1636	5	
8679	1637	11	
5783	1638	19	
8226	1639	30	
3224	1640	13	
5437	1641	5	
8033	1642	18	
2972	1643	9	
6058	1644	12	
6494	1645	3	
4671	1646	13	
8411	1647	12	
5875	1648	2	
164	1649	24	
8621	1650	4	
5946	1651	27	
129	1652	13	
4538	1653	7	
3537	1654	8	
5799	1655	73	
8296	1656	11	
6070	1657	6	
3146	1658	19	
1852	1659	5	
2674	1660	4	
2878	1661	17	
5099	1662	29	
5407	1663	12	
7185	1664	16	
6058	1665	1	
7452	1666	15	
8474	1667	8	
940	1668	9	
1614	1669	9	
3977	1670	14	
2337	1671	28	
699	1672	6	
5376	1673	2	
6227	1674	13	
8587	1675	17	
5473	1676	11	
1865	1677	47	
5539	1678	12	
9960	1679	20	
8851	1680	7	
5437	1681	5	
4823	1682	13	
7046	1683	6	
9904	1684	12	
